 2023-08-25  09:37:50.635617  533,2000
 2023-08-25  09:37:50.654503  467,505
 2023-08-25  09:37:50.682225  478,511
 2023-08-25  09:37:50.709905  485,512
 2023-08-25  09:37:50.737543  483,509
 2023-08-25  09:37:50.765285  473,514
 2023-08-25  09:37:50.793366  472,525
 2023-08-25  09:37:50.820956  476,509
 2023-08-25  09:37:50.848907  446,526
 2023-08-25  09:37:50.876755  445,513
 2023-08-25  09:37:50.904687  414,524
 2023-08-25  09:37:50.932497  410,505
 2023-08-25  09:37:50.960363  445,506
 2023-08-25  09:37:50.988566  439,518
 2023-08-25  09:37:51.016226  469,514
 2023-08-25  09:37:51.043974  474,508
 2023-08-25  09:37:51.071785  491,517
 2023-08-25  09:37:51.099562  480,518
 2023-08-25  09:37:51.127937  496,505
 2023-08-25  09:37:51.156375  486,506
 2023-08-25  09:37:51.185677  480,517
 2023-08-25  09:37:51.213373  481,527
 2023-08-25  09:37:51.241179  495,520
 2023-08-25  09:37:51.268980  480,524
 2023-08-25  09:37:51.296877  489,505
 2023-08-25  09:37:51.325081  485,506
 2023-08-25  09:37:51.352827  508,509
 2023-08-25  09:37:51.380665  487,509
 2023-08-25  09:37:51.408385  508,509
 2023-08-25  09:37:51.436327  486,517
 2023-08-25  09:37:51.464149  478,519
 2023-08-25  09:37:51.491892  489,514
 2023-08-25  09:37:51.519664  480,504
 2023-08-25  09:37:51.547207  489,502
 2023-08-25  09:37:51.575091  480,502
 2023-08-25  09:37:51.602945  468,513
 2023-08-25  09:37:51.630955  477,505
 2023-08-25  09:37:51.658742  490,512
 2023-08-25  09:37:51.686621  491,500
 2023-08-25  09:37:51.714453  491,509
 2023-08-25  09:37:51.741965  487,492
 2023-08-25  09:37:51.770175  495,513
 2023-08-25  09:37:51.797905  473,503
 2023-08-25  09:37:51.825588  473,519
 2023-08-25  09:37:51.853193  484,504
 2023-08-25  09:37:51.880954  500,509
 2023-08-25  09:37:51.908764  476,518
 2023-08-25  09:37:51.936581  480,521
 2023-08-25  09:37:51.964274  486,509
 2023-08-25  09:37:51.992261  473,511
 2023-08-25  09:37:52.019789  479,516
 2023-08-25  09:37:52.047597  499,514
 2023-08-25  09:37:52.075135  496,505
 2023-08-25  09:37:52.103182  505,506
 2023-08-25  09:37:52.130747  502,511
